"","Cam_SD","cam_nights","num_detections","SR","Simpson","InvSimpson","Shannon"
"1","C1 - SD23",51,24,7,0.727705112960761,3.67248908296943,1.5381204554036
"2","C10 - SD25",88,3,1,0,1,0
"3","C10 - SD35",59,6,5,0.776859504132231,4.48148148148148,1.54659868604851
"4","C11 - SD13",109,56,7,0.541223786268314,2.17971195992486,1.11354598555097
"5","C14 - SD17",111,66,4,0.471533516988062,1.89226759339705,0.798215668425126
"6","C14 - SD22",74,25,5,0.369897959183674,1.58704453441296,0.804507271027963
"7","C14 - SD25",50,3,3,0.64,2.77777777777778,1.05492016798614
"8","C14 - SD5",53,6,3,0.611111111111111,2.57142857142857,1.01140426470735
"9","C15 - SD14",73,66,2,0.0587695133149677,1.06243902439024,0.135793958751594
"10","C15 - SD16",113,59,8,0.779897876914808,4.54334554334554,1.71207149057208
"11","C15 - SD35",98,10,3,0.46,1.85185185185185,0.801818552543338
"12","C15 - SD6",78,203,8,0.473324535771514,1.89870246085011,0.919312402855727
"13","C17 - SD24",107,73,4,0.501782698442485,2.00715630885122,0.82254160522388
"14","C17 - SD26",49,26,9,0.757777777777778,4.12844036697248,1.72213996011407
"15","C17 - SD8",68,26,8,0.747138397502602,3.95473251028807,1.6616104050169
"16","C18 - SD16",37,20,4,0.525,2.10526315789474,0.98194160092402
"17","C18 - SD40",88,52,8,0.458382877526754,1.84632272228321,1.05485069131748
"18","C2 - SD42",88,21,4,0.318181818181818,1.46666666666667,0.66317945321055
"19","C2 - SD7",5,3,4,0.73469387755102,3.76923076923077,1.35178399428965
"20","C21 - SD1",51,9,2,0.197530864197531,1.24615384615385,0.348832095843032
"21","C21 - SD21",91,5,2,0.32,1.47058823529412,0.500402423538188
"22","C21 - SD40",11,11,7,0.703125,3.36842105263158,1.55958115625988
"23","C22 - SD18",72,111,3,0.226929632335038,1.29354330708661,0.454413144652442
"24","C22 - SD31",92,71,6,0.311127791330456,1.45164805230182,0.678370394191068
"25","C23 - SD16",88,9,3,0.340000000000001,1.51515151515152,0.639031859650178
"26","C23 - SD24",78,62,6,0.564013840830449,2.29365079365079,1.08693415988027
"27","C23 - SD3",87,26,5,0.454081632653061,1.83177570093458,0.90499611613055
"28","C23 - SD32",113,29,8,0.803329864724246,5.08465608465609,1.79964489422827
"29","C24 - SD18",68,49,6,0.59284890426759,2.45609065155807,1.12381929379841
"30","C24 - SD4",20,19,2,0.265927977839335,1.3622641509434,0.436162325385344
"31","C25 - SD38",10,3,3,0.625,2.66666666666667,1.03972077083992
"32","C25 - SD6",83,8,2,0.218749999999999,1.28,0.376770161256436
"33","C25 - SD9",63,17,6,0.753086419753087,4.05,1.56544510706333
"34","C27 - SD3",53,4,1,0,1,0
"35","C27 - SD35",5,1,2,0.5,2,0.693147180559945
"36","C27 - SD41",4,7,4,0.694214876033058,3.27027027027027,1.2636544318821
"37","C27 - SD8",74,6,3,0.448979591836734,1.81481481481481,0.796311640173813
"38","C28 - SD1",78,175,9,0.389753086419753,1.63868096297795,0.897604112756031
"39","C28 - SD15",73,1,1,0,1,0
"40","C28 - SD38",70,10,2,0.42,1.72413793103448,0.610864302054894
"41","C29 - SD12",20,21,2,0.172335600907029,1.20821917808219,0.314492201281411
"42","C29 - SD19",67,154,4,0.0758137965930173,1.08203303221097,0.204033461217439
"43","C3 - SD39",68,7,2,0.408163265306123,1.68965517241379,0.598269588585258
"44","C3 - SD5",14,4,1,0,1,0
"45","C3 - SD7",88,28,1,0,1,0
"46","C30 - SD17",59,9,1,0,1,0
"47","C30 - SD22",68,64,6,0.611159169550173,2.57174638487208,1.23077954222531
"48","C31 - SD15",44,105,8,0.529653244824875,2.12609099350046,1.06403044188531
"49","C31 - SD3",27,14,5,0.5,2,1.03739232462091
"50","C31 - SD41",25,7,3,0.40625,1.68421052631579,0.735621939758795
"51","C31 - SD6",36,4,1,0,1,0
"52","C32 - SD13",46,46,3,0.123818525519849,1.14131607335491,0.282600106577289
"53","C32 - SD17",38,21,4,0.370510396975425,1.58858858858859,0.752916808782595
"54","C32 - SD26",86,24,7,0.585017835909632,2.40974212034384,1.29816963221891
"55","C32 - SD39",22,3,2,0.444444444444445,1.8,0.636514168294813
"56","C33 - SD1",75,53,3,0.206479174083304,1.26020637056976,0.425227591175288
"57","C33 - SD23",96,46,5,0.656111111111111,2.90791599353796,1.21215325122285
"58","C33 - SD32",8,3,1,0,1,0
"59","C33 - SD38",44,26,7,0.680142687277051,3.12639405204461,1.47983485871241
"60","C34 - SD21",76,99,7,0.3938,1.64962058726493,0.893807760473952
"61","C35 - SD16",61,33,4,0.346020761245675,1.52910052910053,0.672396261548885
"62","C36 - SD32",80,98,9,0.835085066162571,6.06373223292068,1.90688242447996
"63","C37 - SD31",51,44,10,0.815948736205055,5.43326885880077,1.92316247378422
"64","C4 - SD12",57,20,4,0.611570247933884,2.57446808510638,1.12095039267358
"65","C4 - SD26",54,8,2,0.46875,1.88235294117647,0.661563238157982
"66","C4 - SD36",54,33,3,0.218549127640037,1.27967097532315,0.437494957357023
"67","C5 - SD34",68,14,2,0.336734693877551,1.50769230769231,0.519579839130515
"68","C6 - SD41",113,40,4,0.182034503271862,1.22254545454546,0.421126770876108
"69","C7 - SD42",45,46,8,0.779932286857495,4.54405594405595,1.73500021306557
"70","C8 - SD11",70,5,1,0,1,0
"71","C9 - SD25",15,1,2,0.5,2,0.693147180559945
